model_name,threshold,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,false_positive_cost,false_negative_cost,business_cost
logistic_regression,0.05,0.3163265306122449,0.18442622950819673,0.9574468085106383,0.30927835051546393,48,199,2,45,1500,15000,328500
logistic_regression,0.1,0.40816326530612246,0.2073732718894009,0.9574468085106383,0.3409090909090909,75,172,2,45,1500,15000,288000
logistic_regression,0.15,0.4557823129251701,0.20725388601036268,0.851063829787234,0.33333333333333337,94,153,7,40,1500,15000,334500
logistic_regression,0.2,0.5272108843537415,0.22941176470588234,0.8297872340425532,0.3594470046082949,116,131,8,39,1500,15000,316500
logistic_regression,0.25,0.6190476190476191,0.2727272727272727,0.8297872340425532,0.41052631578947363,143,104,8,39,1500,15000,276000
logistic_regression,0.3,0.6428571428571429,0.2835820895522388,0.8085106382978723,0.4198895027624309,151,96,9,38,1500,15000,279000
logistic_regression,0.35,0.6666666666666666,0.296,0.7872340425531915,0.43023255813953487,159,88,10,37,1500,15000,282000
logistic_regression,0.4,0.7074829931972789,0.3211009174311927,0.7446808510638298,0.44871794871794873,173,74,12,35,1500,15000,291000
logistic_regression,0.45,0.7380952380952381,0.34375,0.7021276595744681,0.46153846153846156,184,63,14,33,1500,15000,304500
logistic_regression,0.5,0.7755102040816326,0.3855421686746988,0.6808510638297872,0.4923076923076923,196,51,15,32,1500,15000,301500
logistic_regression,0.55,0.7993197278911565,0.42105263157894735,0.6808510638297872,0.5203252032520325,203,44,15,32,1500,15000,291000
logistic_regression,0.6,0.8163265306122449,0.44776119402985076,0.6382978723404256,0.5263157894736842,210,37,17,30,1500,15000,310500
logistic_regression,0.65,0.8197278911564626,0.45,0.574468085106383,0.5046728971962617,214,33,20,27,1500,15000,349500
logistic_regression,0.7,0.8333333333333334,0.4791666666666667,0.48936170212765956,0.4842105263157895,222,25,24,23,1500,15000,397500
logistic_regression,0.75,0.8435374149659864,0.5121951219512195,0.44680851063829785,0.4772727272727273,227,20,26,21,1500,15000,420000
