model_name,auc,pr_auc,average_precision,f1,precision,recall,candidate_business_cost,brier_score,candidate_selected_threshold,candidate_best_f1_threshold,candidate_best_recall_threshold,candidate_best_business_cost_threshold,run_id
xgboost,0.7528641571194763,0.45362312094610435,0.45362312094610435,0.40609137055837563,0.26666666666666666,0.851063829787234,270000,0.13711715834001734,0.2,0.3,0.05,0.2,
logistic_regression,0.7880093031268843,0.5379226781315857,0.5379226781315857,0.41052631578947363,0.2727272727272727,0.8297872340425532,276000,0.16076758409732436,0.25,0.6,0.1,0.25,
lightgbm,0.7091050047377034,0.4265552009648433,0.4265552009648433,0.31851851851851853,0.19282511210762332,0.9148936170212766,330000,0.13793676992104098,0.05,0.45,0.05,0.05,
